Image name,Translated text,Ground truth,Translation language,Image preprocessing,Text_TT,Text_GT,diff_TT/GT,match,similarity
040_3_07_2.png,avo,ad,eng,Original_grayscale,3,2,150.0%,No,
040_3_07_2.png,avo,ad,eng,Threshold,3,2,150.0%,No,
040_3_07_2.png,ado,ad,eng,Deskewed,3,2,150.0%,No,
040_3_07_2.png,Aav,ad,enm,Original_grayscale,3,2,150.0%,No,
040_3_07_2.png,av,ad,enm,Threshold,2,2,100.0%,No,
040_3_07_2.png,adD,ad,enm,Deskewed,3,2,150.0%,No,
040_3_07_2.png,av,ad,ita,Original_grayscale,2,2,100.0%,No,
040_3_07_2.png,av,ad,ita,Threshold,2,2,100.0%,No,
040_3_07_2.png,av,ad,ita,Deskewed,2,2,100.0%,No,
040_3_07_2.png,AV,ad,ita_old,Original_grayscale,2,2,100.0%,No,
040_3_07_2.png,IV,ad,ita_old,Threshold,2,2,100.0%,No,
040_3_07_2.png,dO,ad,ita_old,Deskewed,2,2,100.0%,No,
040_3_07_2.png,do,ad,lat,Original_grayscale,2,2,100.0%,No,
040_3_07_2.png,do,ad,lat,Threshold,2,2,100.0%,No,
040_3_07_2.png,Jo,ad,lat,Deskewed,2,2,100.0%,No,
040_3_01_4.png,chelmo,Chelmo,eng,Original_grayscale,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,eng,Threshold,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,eng,Deskewed,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,enm,Original_grayscale,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,enm,Threshold,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,enm,Deskewed,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,ita,Original_grayscale,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,ita,Threshold,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,ita,Deskewed,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,ita_old,Original_grayscale,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,ita_old,Threshold,6,6,100.0%,Yes,
040_3_01_4.png,chelmo,Chelmo,ita_old,Deskewed,6,6,100.0%,Yes,
040_3_01_4.png,dxlmo,Chelmo,lat,Original_grayscale,5,6,83.33%,No,
040_3_01_4.png,dxlmo,Chelmo,lat,Threshold,5,6,83.33%,No,
040_3_01_4.png,dxlmo,Chelmo,lat,Deskewed,5,6,83.33%,No,
040_3_25_5.png,aonKs,comes,eng,Original_grayscale,5,5,100.0%,No,
040_3_25_5.png,onKe,comes,eng,Threshold,4,5,80.0%,No,
040_3_25_5.png,ONKe,comes,eng,Deskewed,4,5,80.0%,No,
040_3_25_5.png,cOmes,comes,enm,Original_grayscale,5,5,100.0%,Yes,
040_3_25_5.png,comes,comes,enm,Threshold,5,5,100.0%,Yes,
040_3_25_5.png,comes,comes,enm,Deskewed,5,5,100.0%,Yes,
040_3_25_5.png,ON,comes,ita,Original_grayscale,2,5,40.0%,No,
040_3_25_5.png,ON,comes,ita,Threshold,2,5,40.0%,No,
040_3_25_5.png,ON,comes,ita,Deskewed,2,5,40.0%,No,
040_3_25_5.png,comcs,comes,ita_old,Original_grayscale,5,5,100.0%,No,
040_3_25_5.png,ccomcs,comes,ita_old,Threshold,6,5,120.0%,No,
040_3_25_5.png,comnce,comes,ita_old,Deskewed,6,5,120.0%,No,
040_3_25_5.png,conics,comes,lat,Original_grayscale,6,5,120.0%,No,
040_3_25_5.png,conics,comes,lat,Threshold,6,5,120.0%,No,
040_3_25_5.png,cones,comes,lat,Deskewed,5,5,100.0%,No,
040_3_25_4.png,et,et,eng,Original_grayscale,2,2,100.0%,Yes,
040_3_25_4.png,et,et,eng,Threshold,2,2,100.0%,Yes,
040_3_25_4.png,et,et,eng,Deskewed,2,2,100.0%,Yes,
040_3_25_4.png,s of,et,enm,Original_grayscale,4,2,200.0%,No,
040_3_25_4.png,ee,et,enm,Threshold,2,2,100.0%,No,
040_3_25_4.png,s o,et,enm,Deskewed,3,2,150.0%,No,
040_3_25_4.png,e,et,ita,Original_grayscale,1,2,50.0%,No,
